Account,2023,2024,2025
Revenue,9670643576585,10737719264647,12035007218975
Operating_Profit,1488820269608,1979263438827,2208138388720
Net_Income,985017762493,1931976372953,1818746310015
Total_Assets,35737826964395,38167876036020,41084496327318
Operating_Cash_Flow,2002233273518,2589874337746,3095806604677
Intangible_Assets,3445599901744,3657186453124,3421016567851
Goodwill,2578089956000,2669207373000,2303953943000
Investment_in_Associates,17588864100100,17406149463680,16648890154568
Accounts_Receivable,1724145643626,1655220886505,1689716780835
Inventory,14811319796,21743796031,20235420058
Trade_Payables,1838187891754,1558832501211,1540312003221
